Date	Spintronic synapses/neurons (MTJ-based)	Co-design of learning rules with device physics	Hybrid CMOS + spintronic integration	Low-power continual learning	Stochastic and probaility MTJ operation	Nonvolatile synaptic weight state engineering	Multilevel and analog-like MTJ synapse operation	Energy barrier and Anisotropy engineering	Switching mechanism engineering	Geometry and materials structure engineering	Endurance and reliability properties	Resistive Switching Physics	Hebbian/Spike-Timing-Dependent Plasticity (STDP)	Physical Reservoir Computing (PRC) 	Stochastic Computing (SC) (in low power)	Physics-Informed Neuromorphic Learning (PINL)	Stability-Plasticity	Hardware-Algorithm Synergy (in BCI data)	Stability-Plasticity Balancing	Synaptic-Plasticity Modelling (in Spiking Neural Network)	CMOS-spintronic circuit integration	CMOS-compatible fabrication process integration 	MRAM (or MTJ) array architecture 	MRAM (or MTJ) PIM (process-in-memory) architecture	Spintronic neuromorphic architecture	Parameter-Efficient Fine-Tuning (PEFT)	Dynamic Neural Architectures 	Knowledge Distillation (in AI/ML)	Feature Buffering (in AI/ML)	Dynamic Pruning (in AI/ML)	Stability-Plasticity theory (in neuroscience and AI)	Hyperdimensional Computing (HDC) (in energy efficiency) 	Developmental Principles (in AI and energy efficiency) 	Aux_GenAI_LLM_Volume	Aux_Pure_Material_Spintronics	Aux_Application_Demand_BCI_TinyML	Aux_Pure_Algorithmic_Plasticity
2004-10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2004-11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2	3.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2004-12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.216	3.268	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2005-01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.62608	3.02384	0	0	0	0	0	0	0	0	0.2	0	0	0	0	0
2005-02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.6626304	2.5836192	0	0	0	0	0	0	0	0	0.216	0	0	0	0	0
2005-03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2	0.682273152	2.135748096	0	0	0	0	0	0	0	0	0.22608	0	0	0	0	0
2005-04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.216	0.886306166	1.98994914	0	0	0	0	0	0	0	0	0.2306304	0	0	0	0	0
2005-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.22608	0.892209755	1.878931098	0	0	0	0	0	0	0	0	0.230113152	0	0	0	0	0
2005-06	0	0	0	0	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2306304	0.87967879	1.601436237	0	0	0	0	0	0	0	0	0.225045366	0	0	0	0	0
2005-07	0	0	0	0	0.108	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.230113152	1.550807346	1.439662138	0	0	0	0	0	0	0	0	0.215983451	0	0	0	0	0
