Date Month-Year,Aux_GenAI_LLM_Volume,Aux_Pure_Material_Spintronics,Aux_Application_Demand_BCI_TinyML,Aux_Pure_Algorithmic_Plasticity
Oct-2004,0,0,0,0
Nov-2004,0,0,0,0
Dec-2004,0,0,0,0
Jan-2005,0,0,0,0
Feb-2005,0,0,0,0
Mar-2005,0,0,0,0
Apr-2005,0,0,0,0
May-2005,0,0,0,0
Jun-2005,0,0,0,0
Jul-2005,0,0,0,0
Aug-2005,0,0,0,0
Sep-2005,0,0,0,0
Oct-2005,0,0,0,0
Nov-2005,0,0,0,0
Dec-2005,0,0,0,0
Jan-2006,0,0,0,0
Feb-2006,0,0,0,0
Mar-2006,0,0,0,0
Apr-2006,0,0,0,0
May-2006,0,0,0,0
Jun-2006,0,0,0,0
Jul-2006,0,0,0,0
Aug-2006,0,0,0,0
Sep-2006,0,0,0,0
Oct-2006,0,0,0,0
Nov-2006,0,0,0,0
Dec-2006,0,0,0,0
Jan-2007,0,0,0,0
Feb-2007,0,0,0,0
Mar-2007,0,0,0,0
Apr-2007,0,0,0,0
May-2007,0,0,0,0
Jun-2007,0,0,0,0
Jul-2007,0,0,0,0
Aug-2007,0,0,0,0
Sep-2007,0,0,0,0
Oct-2007,0,0,0,0
Nov-2007,0,0,0,0
Dec-2007,0,0,0,0
Jan-2008,0,0,0,0
Feb-2008,0,0,0,0
Mar-2008,0,0,0,0
Apr-2008,0,0,0,0
May-2008,0,0,0,0
Jun-2008,0,0,0,0
Jul-2008,0,0,0,0
Aug-2008,0,0,0,0
Sep-2008,0,0,0,0
Oct-2008,0,0,0,0
Nov-2008,0,0,0,0
Dec-2008,0,0,0,0
Jan-2009,0,0,0,0
Feb-2009,0,0,0,0
Mar-2009,0,0,0,0
Apr-2009,0,0,0,0
May-2009,0,0,0,0
Jun-2009,0,0,0,0
Jul-2009,0,0,0,0
Aug-2009,0,0,0,0
Sep-2009,0,0,0,0
Oct-2009,0,0,0,0
Nov-2009,0,0,0,0
Dec-2009,0,0,0,0
Jan-2010,0,0,0,0
Feb-2010,0,0,0,0
Mar-2010,0,0,0,0
Apr-2010,0,0,0,0
May-2010,0,0,0,0
Jun-2010,0,0,0,0
Jul-2010,0,0,0,0
Aug-2010,0,0,0,0
Sep-2010,0,0,0,0
Oct-2010,0,0,0,0
Nov-2010,0,0,0,0
Dec-2010,0,0,0,0
Jan-2011,0,0,0,0
Feb-2011,0,0,0,0
Mar-2011,0,0,0,0
Apr-2011,0,0,0,0
May-2011,0,0,0,0
Jun-2011,0,0,0,0
Jul-2011,0,0,0,0
Aug-2011,0,0,0,0
Sep-2011,0,0,0,0
Oct-2011,0,0,0,0
Nov-2011,0,0,1,0
Dec-2011,103,479,1696,220
Jan-2012,3,28,68,4
Feb-2012,3,34,114,15
Mar-2012,13,59,261,31
Apr-2012,15,37,127,32
May-2012,14,61,202,20
Jun-2012,0,9,8,1
Jul-2012,31,215,600,54
Aug-2012,10,55,278,30
Sep-2012,10,70,257,29
Oct-2012,11,86,296,48
Nov-2012,14,43,307,28
Dec-2012,17,56,347,30
Jan-2013,11,29,142,5
Feb-2013,8,43,170,10
Mar-2013,6,41,222,16
Apr-2013,21,58,309,26
May-2013,15,71,283,27
Jun-2013,5,64,334,30
Jul-2013,20,67,313,40
Aug-2013,10,96,335,26
Sep-2013,18,62,265,33
Oct-2013,22,124,509,66
Nov-2013,26,84,492,27
Dec-2013,15,76,355,32
Jan-2014,7,16,117,6
Feb-2014,13,66,283,19
Mar-2014,11,31,124,22
Apr-2014,15,88,348,29
May-2014,22,100,444,35
Jun-2014,17,59,409,33
Jul-2014,13,139,467,52
Aug-2014,19,101,403,40
Sep-2014,7,54,140,23
Oct-2014,5,35,178,12
Nov-2014,21,80,397,25
Dec-2014,20,140,333,37
Jan-2015,2,27,95,10
Feb-2015,16,64,247,25
Mar-2015,10,84,282,17
Apr-2015,14,73,337,22
May-2015,16,87,263,28
Jun-2015,13,66,314,25
Jul-2015,9,91,287,20
Aug-2015,12,92,367,58
Sep-2015,19,96,425,37
Oct-2015,13,233,393,45
Nov-2015,22,148,429,42
Dec-2015,13,71,221,32
Jan-2016,10,52,178,14
Feb-2016,12,69,269,21
Mar-2016,18,125,446,32
Apr-2016,17,102,369,19
May-2016,10,94,430,26
Jun-2016,28,123,421,35
Jul-2016,27,129,513,44
Aug-2016,11,94,308,34
Sep-2016,14,106,329,45
Oct-2016,22,115,458,27
Nov-2016,18,85,397,29
Dec-2016,4,67,249,25
Jan-2017,10,78,316,24
Feb-2017,8,96,306,21
Mar-2017,21,90,316,16
Apr-2017,22,107,546,42
May-2017,12,77,376,30
Jun-2017,19,116,402,41
Jul-2017,21,167,520,52
Aug-2017,10,93,297,28
Sep-2017,20,124,434,39
Oct-2017,19,87,326,42
Nov-2017,14,113,289,32
Dec-2017,21,168,350,73
Jan-2018,6,83,157,19
Feb-2018,15,106,316,16
Mar-2018,19,99,282,25
Apr-2018,12,144,289,30
May-2018,24,137,335,29
Jun-2018,19,137,346,51
Jul-2018,17,147,333,35
Aug-2018,20,116,413,31
Sep-2018,19,122,350,35
Oct-2018,28,117,388,42
Nov-2018,19,144,494,44
Dec-2018,19,86,274,66
Jan-2019,14,84,244,16
Feb-2019,11,94,234,35
Mar-2019,19,126,307,31
Apr-2019,17,93,271,54
May-2019,22,113,357,59
Jun-2019,24,157,440,37
Jul-2019,25,115,432,51
Aug-2019,31,165,446,72
Sep-2019,25,101,355,37
Oct-2019,25,147,360,68
Nov-2019,25,126,377,71
Dec-2019,33,92,265,36
Jan-2020,17,63,188,31
Feb-2020,28,96,316,28
Mar-2020,31,122,402,48
Apr-2020,29,129,331,36
May-2020,27,127,466,55
Jun-2020,34,119,323,59
Jul-2020,37,169,421,57
Aug-2020,23,116,418,59
Sep-2020,42,149,491,71
Oct-2020,58,163,382,90
Nov-2020,30,145,307,87
Dec-2020,27,99,276,55
Jan-2021,20,102,291,34
Feb-2021,19,144,250,30
Mar-2021,43,170,464,48
Apr-2021,36,124,364,44
May-2021,60,175,492,64
Jun-2021,65,173,520,90
Jul-2021,50,117,307,80
Aug-2021,73,186,516,88
Sep-2021,67,168,458,80
Oct-2021,77,155,360,90
Nov-2021,93,137,361,80
Dec-2021,37,103,236,51
Jan-2022,48,154,328,39
Feb-2022,51,180,376,59
Mar-2022,46,197,369,53
Apr-2022,88,170,375,66
May-2022,112,218,465,95
Jun-2022,85,191,378,88
Jul-2022,120,207,564,89
Aug-2022,83,170,359,80
Sep-2022,189,195,535,142
Oct-2022,155,202,443,119
Nov-2022,150,183,468,125
Dec-2022,152,163,352,158
Jan-2023,64,119,227,53
Feb-2023,108,230,402,68
Mar-2023,172,174,409,74
Apr-2023,224,227,504,105
