Date Month-Year,Aux_GenAI_LLM_Volume,Aux_Pure_Material_Spintronics,Aux_Application_Demand_BCI_TinyML,Aux_Pure_Algorithmic_Plasticity
Oct-2004,0.0,0.0,0.0,0.0
Nov-2004,0.0,0.0,0.0,0.0
Dec-2004,0.0,0.0,0.0,0.0
Jan-2005,0.0,0.0,0.0,0.0
Feb-2005,0.0,0.0,0.0,0.0
Mar-2005,0.0,0.0,0.0,0.0
Apr-2005,0.0,0.0,0.0,0.0
May-2005,0.0,0.0,0.0,0.0
Jun-2005,0.0,0.0,0.0,0.0
Jul-2005,0.0,0.0,0.0,0.0
Aug-2005,0.0,0.0,0.0,0.0
Sep-2005,0.0,0.0,0.0,0.0
Oct-2005,0.0,0.0,0.0,0.0
Nov-2005,0.0,0.0,0.0,0.0
Dec-2005,0.0,0.0,0.0,0.0
Jan-2006,0.0,0.0,0.0,0.0
Feb-2006,0.0,0.0,0.0,0.0
Mar-2006,0.0,0.0,0.0,0.0
Apr-2006,0.0,0.0,0.0,0.0
May-2006,0.0,0.0,0.0,0.0
Jun-2006,0.0,0.0,0.0,0.0
Jul-2006,0.0,0.0,0.0,0.0
Aug-2006,0.0,0.0,0.0,0.0
Sep-2006,0.0,0.0,0.0,0.0
Oct-2006,0.0,0.0,0.0,0.0
Nov-2006,0.0,0.0,0.0,0.0
Dec-2006,0.0,0.0,0.0,0.0
Jan-2007,0.0,0.0,0.0,0.0
Feb-2007,0.0,0.0,0.0,0.0
Mar-2007,0.0,0.0,0.0,0.0
Apr-2007,0.0,0.0,0.0,0.0
May-2007,0.0,0.0,0.0,0.0
Jun-2007,0.0,0.0,0.0,0.0
Jul-2007,0.0,0.0,0.0,0.0
Aug-2007,0.0,0.0,0.0,0.0
Sep-2007,0.0,0.0,0.0,0.0
Oct-2007,0.0,0.0,0.0,0.0
Nov-2007,0.0,0.0,0.0,0.0
Dec-2007,0.0,0.0,0.0,0.0
Jan-2008,0.0,0.0,0.0,0.0
Feb-2008,0.0,0.0,0.0,0.0
Mar-2008,0.0,0.0,0.0,0.0
Apr-2008,0.0,0.0,0.0,0.0
May-2008,0.0,0.0,0.0,0.0
Jun-2008,0.0,0.0,0.0,0.0
Jul-2008,0.0,0.0,0.0,0.0
Aug-2008,0.0,0.0,0.0,0.0
Sep-2008,0.0,0.0,0.0,0.0
Oct-2008,0.0,0.0,0.0,0.0
Nov-2008,0.0,0.0,0.0,0.0
Dec-2008,0.0,0.0,0.0,0.0
Jan-2009,0.0,0.0,0.0,0.0
Feb-2009,0.0,0.0,0.0,0.0
Mar-2009,0.0,0.0,0.0,0.0
Apr-2009,0.0,0.0,0.0,0.0
May-2009,0.0,0.0,0.0,0.0
Jun-2009,0.0,0.0,0.0,0.0
Jul-2009,0.0,0.0,0.0,0.0
Aug-2009,0.0,0.0,0.0,0.0
Sep-2009,0.0,0.0,0.0,0.0
Oct-2009,0.0,0.0,0.0,0.0
Nov-2009,0.0,0.0,0.0,0.0
Dec-2009,0.0,0.0,0.0,0.0
Jan-2010,0.0,0.0,0.0,0.0
Feb-2010,0.0,0.0,0.0,0.0
Mar-2010,0.0,0.0,0.0,0.0
Apr-2010,0.0,0.0,0.0,0.0
May-2010,0.0,0.0,0.0,0.0
Jun-2010,0.0,0.0,0.0,0.0
Jul-2010,0.0,0.0,0.0,0.0
Aug-2010,0.0,0.0,0.0,0.0
Sep-2010,0.0,0.0,0.0,0.0
Oct-2010,0.0,0.0,0.0,0.0
Nov-2010,0.0,0.0,0.0,0.0
Dec-2010,0.0,0.0,0.0,0.0
Jan-2011,0.0,0.0,0.0,0.0
Feb-2011,0.0,0.0,0.0,0.0
Mar-2011,0.0,0.0,0.0,0.0
Apr-2011,0.0,0.0,0.0,0.0
May-2011,0.0,0.0,0.0,0.0
Jun-2011,0.0,0.0,0.0,0.0
Jul-2011,0.0,0.0,0.0,0.0
Aug-2011,0.0,0.0,0.0,0.0
Sep-2011,0.0,0.0,0.0,0.0
Oct-2011,0.0,0.0,0.0,0.0
Nov-2011,0.0,0.0,0.1,0.0
Dec-2011,10.3,47.900000000000006,169.70800000000003,22.0
Jan-2012,11.424000000000001,54.532000000000004,190.08104000000003,24.159999999999997
Feb-2012,12.267120000000002,60.57016,210.57515520000004,26.800799999999995
Mar-2012,13.840585600000002,67.9731008,241.78835577600006,30.541503999999996
Apr-2012,15.439892928000003,72.256285504,256.8644691788801,34.01730752
May-2012,16.770471664640002,77.80602602752,275.3356818578945,35.90518453760001
Jun-2012,16.512583094323205,77.26467197813761,271.0930596318496,35.38617016268801
Jul-2012,19.050231719151622,96.0121598941307,321.21283843577214,39.53133382201345
Aug-2012,19.473110847114164,99.26465582064188,339.696382590587,41.15135443896608
Sep-2012,19.66423984533817,102.80660903808909,352.99764467810866,42.28634590544413
Oct-2012,19.74297114683301,106.9382347530298,366.948827663316,44.94211130716549
Nov-2012,19.93896989524171,105.93793320141585,379.18591579673625,45.3934579425714
Dec-2012,20.2965893709047,105.07890314093497,392.7555768008798,45.6518007555853
Jan-2013,19.952515111583303,100.62419802368349,383.5531601685914,43.0712732721861
Feb-2013,19.163797975962378,96.58247945768348,373.23992199616,40.487373071683095
Mar-2013,18.0306765943843,91.6732831591298,365.0932092010485,38.15211542979674
Apr-2013,18.27025381907634,87.9415408272489,363.59930350142724,36.60734124350307
May-2013,17.940468244917653,85.28414191201111,358.5628023017395,35.10489765096872
Jun-2013,16.58485186327648,81.90680005005689,357.61869517598575,33.890600464668424
Jul-2013,16.633100082533893,78.80905637329694,354.19662485928774,33.71992098770479
Aug-2013,15.743861478214889,78.68490593674704,352.49282907707374,32.29191103868342
Sep-2013,15.628669504763486,75.5194724251172,343.60955629153966,31.580863863790526
Oct-2013,15.972423338561956,78.60019281614801,358.4424196587282,34.269304129111106
Nov-2013,16.80235332220934,78.28083731175278,373.10314829602333,33.42351428531741
Dec-2013,16.633243241047797,77.307800611562,374.9757411036685,33.033833140196734
Jan-2014,15.648379303181452,70.40591156915906,352.4615598084757,30.062443446784194
Feb-2014,15.189034173038113,68.10609319961324,344.0895654466328,28.20694385377722
Mar-2014,14.531842872448346,62.49413480302974,319.4329792120414,26.652855342995398
Apr-2014,14.269733844468588,62.513489550043985,315.73339201666835,25.861118576431856
May-2014,14.748441042397435,64.24063903135593,322.6490957004993,25.811333114996028
Jun-2014,14.82430869968545,62.41026078390956,327.8002471019371,25.750299537403862
Jul-2014,14.536103417250953,68.69471514552964,339.8602784211924,27.740363326822834
Aug-2014,14.845996594714887,71.95682976807713,346.85710104009837,28.816613470763453
Sep-2014,14.00798052253813,70.77359633300833,327.97709937631174,28.308906330894743
Oct-2014,12.913606447128286,67.47321431478623,311.0255558913775,26.645791778395008
Nov-2014,13.37039765031686,68.35340621209062,315.00865563710914,26.156072845577345
Dec-2014,13.83410178018024,75.37851079542276,313.8332722955255,26.8922043491299
Jan-2015,12.574753461453678,71.69353470451323,289.35876184218967,25.056878615344605
Feb-2015,12.629844905370698,71.18318552860438,278.6445271973436,24.603947882630944
Mar-2015,12.146830306788603,72.58020755971435,271.8688254730353,23.40423126553603
Apr-2015,12.069180561928945,72.96592323651903,271.4733174116971,22.696401684839888
May-2015,12.237912180316673,74.71374888091286,265.02789380825885,22.64542702851656
Jun-2015,12.165012393259298,74.43251698324904,264.2864546889992,22.406641297255238
Jul-2015,11.716102337042472,76.51075793568663,261.9134303878855,21.743601313174942
Aug-2015,11.55776123970648,78.77095963416673,268.27943990912553,24.911993301239175
Sep-2015,12.124099027309956,81.46972197011547,281.783259680059,26.325306224472204
Oct-2015,12.171321055606889,97.88921363306703,293.60103228029794,28.610781730892484
Nov-2015,13.130394459961988,106.86897185706209,309.82500697490707,30.695494052052887
Dec-2015,13.270952634682338,108.07337482151641,306.0100840605571,31.797825260056193
Jan-2016,13.092035939237006,106.51586999309498,296.5764517564311,30.993966842058043
Feb-2016,13.069170194551468,105.7237982476538,294.81465364758895,30.630614929018552
Mar-2016,13.627207620443455,109.87645771180365,310.4127422766793,31.210985908702636
Apr-2016,14.116897151337373,111.61632207530245,319.46276719732697,30.44910007224426
May-2016,13.915279786115152,112.18987356094533,334.6985342819634,30.234420817986837
Jun-2016,15.45551856169285,115.242272426805,349.41675397249696,30.85652107279542
Jul-2016,16.992623088478922,118.74458595754261,373.2948166145272,32.399280880667234
Aug-2016,16.976164700816806,118.60177641605561,377.07917666006387,33.01977909013853
Sep-2016,17.141828857904567,119.1812123003962,381.2035171678456,34.69783189685992
Oct-2016,18.02809002212546,120.33908035029481,396.7713532814922,34.61412278497197
Nov-2016,18.50516326948176,118.27437998819767,405.90697871814433,34.58650212857337
Dec-2016,17.524425926712787,113.95066206254627,399.15090203676834,34.049913495243175
Jan-2017,16.971273799686458,110.2203026882091,396.7674149827946,33.285985455341134
Feb-2017,16.134011409369034,108.01857319754146,392.00692833456236,32.11273051032247
Mar-2017,16.51779502989597,105.19664519198976,387.0023517844621,30.33454644959923
Apr-2017,17.052844387772296,104.05297708315344,404.07818585368267,31.047489865956326
May-2017,16.633331922105544,100.08261624353767,405.2848727989075,30.708189143358585
Jun-2017,16.863104064563355,99.94763916301272,408.38519359363164,31.488654710153448
Jul-2017,17.31263691148412,105.24720700728002,422.8477784370108,33.48130062606576
Aug-2017,16.690963735483123,103.85187392697499,415.5071492273118,33.245055937865516
Sep-2017,16.997638602372565,105.47903667616096,420.23043995403646,34.02753459972799
Oct-2017,17.23369321052561,103.61390241690512,413.956792809008,35.13121470340966
Nov-2017,16.98146849365284,104.20300353523676,402.85137452230214,35.26190250265497
Dec-2017,17.394836878594294,110.4091344710305,396.6794705738208,39.414283471922644
Jan-2018,16.338971687469716,108.64646962382426,370.8911676087112,38.4231406748251
Feb-2018,16.0819135817082,108.84714186886217,359.30387158793843,36.84264934394081
Mar-2018,16.22892301488867,108.27080405201903,344.6092277374841,35.90335415926614
Apr-2018,15.716653044453324,112.06668393581984,330.8318637173255,35.339921409873604
May-2018,16.381277010172443,115.42164215252417,322.1955988248363,34.62603350722285
Jun-2018,16.631813039116203,118.87267170450758,315.77904844509925,36.07101372469271
Jul-2018,16.704659204383262,123.3411448672025,309.308572134434,36.07007564592174
Aug-2018,17.07612756903595,124.73594781628387,311.95897201214655,35.64782986210943
Sep-2018,17.368926545842648,126.41655151413143,310.06515246184495,35.57485205943617
Oct-2018,18.565067094051823,127.34076381191161,312.95941181733656,36.1976749958415
Nov-2018,18.930292245559045,130.66573960367555,327.6650570009323,37.07426213868947
Dec-2018,19.260389037004362,128.12490302418956,322.2268365261498,40.20170532447886
Jan-2019,19.052268368565063,124.7956520421684,313.3679013683225,38.53237008519973
Feb-2019,18.463914399598394,121.98341311750598,303.00750169891154,38.47932096814452
Mar-2019,18.585117539536423,122.09272982295968,299.6029919624635,37.96199034343194
Apr-2019,18.50249801468992,118.96926026140882,293.08687336041095,39.65715297432198
May-2019,18.89809048203427,117.63875245078486,295.38062915135544,41.96965628263658
Jun-2019,19.5161618930035,120.74852037220761,306.97739678017837,42.19151613446699
Jul-2019,20.262102925015736,120.07234109404394,319.2749397105154,43.68735967842502
Aug-2019,21.628207795326436,124.36233292181575,333.99722955360846,47.27987167441874
Sep-2019,22.445138022699535,122.63607890837406,340.38734582132,47.50753503732472
Oct-2019,23.231472466881332,125.24972871810907,346.93070354583404,50.60228136319361
Nov-2019,23.974544017307323,125.93701897250838,354.78111142698,54.03550742921174
Dec-2019,25.46381753234457,123.15683982201762,351.0908562914717,53.96470074004382
Jan-2020,25.3548873452312,117.13154179013556,338.3478095436849,53.04168070499181
Feb-2020,26.189752429924546,113.92614272563901,336.672111279803,51.47012905934517
Mar-2020,27.277335957550065,113.28276071307934,343.35054061671326,51.58632999707629
Apr-2020,28.13061441326203,113.57806168751405,343.43411620759827,50.41918424109278
May-2020,28.71595273513756,113.95227133075501,356.7606519152428,50.98036937588576
Jun-2020,29.908438170122785,113.75001458305677,356.63932101381806,51.96582860968172
Jul-2020,31.36350629820703,118.67298321846722,365.65733678225945,52.79342534790446
Aug-2020,31.385797487518715,118.81019532596727,374.5804042382115,53.822393905346836
Sep-2020,33.13814360814886,122.177482316198,390.7795568638041,56.05201772893803
Oct-2020,36.492492244553006,127.14449096108167,396.4632030895613,60.257638815591356
Nov-2020,37.14155617242568,130.53190892225535,393.7892206309516,64.33754501726752
Dec-2020,37.28288258406258,129.26994690886656,386.54685200558384,65.26270969843071
Jan-2021,36.50441870285453,127.82878215863931,379.3177832026412,63.79010371750897
Feb-2021,35.373712835710194,130.215158240262,366.94526561593995,61.46895626032922
Mar-2021,36.42860329856609,135.2385935489172,374.87109447559,60.55054442366087
Apr-2021,36.809432649165075,135.85491345572854,373.78691855976325,59.072962882186125
May-2021,39.53599041172086,141.27250310274417,385.41542186432395,59.44168023721514
Jun-2021,42.89917258978665,146.62288372300335,400.8127664011421,62.46469225199695
Jul-2021,44.86805309825013,146.36576860677656,395.75412115625556,64.73610922026064
Aug-2021,49.04268449390226,152.4470496300369,410.32625801273264,67.88566230729275
Sep-2021,52.67899906011113,156.7912615583705,419.75465602330735,70.32254683947579
Oct-2021,57.238102188496896,159.62522706270332,419.20512111235837,73.70929198165102
Nov-2021,63.33653296027414,160.28329147534876,417.6264372702572,76.08317676997571
Dec-2021,63.81838999566819,157.00988361722273,402.573093066961,75.3980095440684
Jan-2022,64.81569352760947,158.0836188725648,394.8936214226552,73.09339884987048
Feb-2022,65.67695283580443,161.56830822492142,391.4442245143269,72.33738124809494
